GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06013","Contra Costa, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",546362,556814,563371,567619,573982,581729,589053,601223,614961,626070,642832,658783,667293,678903,690150,698814,711446,725367,739987,759242,784395,809317,823183,839768,852532,861979,872075,884227,903049,921663,936983,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,1052827,1066922,1080252,1097315,1113976,1130708,1145072,1154685,1161151,1164443,1166165,1163813,1160296,1162179,1172607
 "06013","Contra Costa, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5103,5347,5694,6208,6664,7387,8212,8998,9803,10963,12180,13753,15263,16127,17407,19047,20324,21540,22720,24301,25400,26201,26900,28442,29341,30217,31657,33560,35592,37925,40221,44926,46750,45990,46959,49555,51875,55749,57499,58263,53921,53630,57220,61049,60376,62371,67047,70257,74770,78509,80354,87843,94780,96617,102184,108259
 "06015","Del Norte, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",54540,58809,64960,71700,78529,86327,94539,106229,117924,136445,151696,174059,181590,171644,183790,198199,205140,216501,229328,256877,280571,334367,362425,384712,403098,416085,429349,434332,455538,485626,500410,519814,515630,518205,554963,606746,622620,664010,702264,736807,743361,781326,801110,804556,819593,852254,895103,929522,934261,967786,1011444,1145076,1232056,1202924,1246696,1354335
 "06015","Del Norte, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",14224,14634,14985,15021,15419,15579,16059,16295,16828,17728,17915,18338,18789,18571,18704,18505,18701,19087,19526,20308,21270,23986,27012,27306,27942,28105,27802,27981,28340,28187,27624,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,28562,28418,28144,27747,27085,27078,27272,27217,27604,27691,27616,27581,26758,26571,27009
 "06015","Del Norte, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3834,4019,4335,4773,5093,5541,5887,6519,7008,7697,8468,9492,9665,9243,9826,10711,10969,11343,11745,12649,13191,13940,13417,14089,14426,14805,15443,15522,16074,17229,18115,18944,18893,18915,20107,21708,22015,23537,24715,25857,25993,27355,28190,28587,29538,31466,33056,34083,34326,35060,36526,41464,44670,44956,46919,50144
 "06017","El Dorado, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",185399,207258,237154,275555,322781,367145,433672,499863,577819,694801,797261,928126,1040498,1112471,1226454,1384893,1542288,1713870,1879789,2101872,2367862,2611370,2820758,3087540,3250814,3521387,3800847,4114754,4443793,4832070,5318325,5817764,6192413,6412329,6670152,7108864,7518227,8008610,8309257,8635567,8422629,8735037,9102802,9446675,9741664,10253863,10805487,11479612,11874184,12509360,13204691,14155885,15400735,15443750,16328505,17268166
 "06017","El Dorado, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",43168,44389,46046,48509,52713,55614,58416,62534,67014,73670,80658,86557,89367,92428,93434,95371,99093,102450,106852,112687,118828,127952,132724,136014,139646,142088,144574,146863,149589,152308,154381,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,181113,180727,180188,180915,182354,183635,184846,187423,189366,191309,191250,193724,193071,192440,192823
 "06017","El Dorado, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4295,4669,5150,5680,6123,6602,7424,7993,8622,9431,9884,10723,11643,12036,13126,14521,15564,16729,17592,18652,19927,20409,21253,22700,23279,24783,26290,28018,29707,31726,34449,37018,38438,38817,39625,41414,42961,45304,46762,48203,46674,48230,50368,52427,53847,56231,58842,62104,63355,66059,69023,74018,79498,79990,84850,89554
 "06019","Fresno, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1500510,1653102,1799992,2036193,2339957,2740807,2963789,3397744,3628639,4040140,4792411,5542361,5807285,6123544,6445527,7113502,7643191,8157589,8884599,9566290,10370017,11303948,11862727,12608219,13348277,13661123,14205895,14842295,15261271,16165777,17127818,18484717,19073727,20421046,21910996,23181267,24077832,25753508,27140658,27702269,27806136,29066562,30713635,31502991,32824378,35044607,37251040,38323050,39208890,40504743,42845932,48784407,52726887,51990282,54448091,58972823
 "06019","Fresno, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",408304,414886,424697,431918,439865,449886,464183,477162,489016,497564,506332,517679,528891,541500,555873,572091,584070,593621,608831,627658,650755,672302,691569,710263,726859,739835,749534,761409,771391,778615,789405,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,932202,940206,946501,953630,963323,972906,981015,990274,997611,1004925,1009613,1012879,1017107,1019899,1024125
 "06019","Fresno, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3675,3984,4238,4714,5320,6092,6385,7121,7420,8120,9465,10706,10980,11308,11595,12434,13086,13742,14593,15241,15935,16814,17153,17751,18364,18465,18953,19493,19784,20762,21697,23069,23460,24611,25863,26923,27597,29137,30293,30454,30176,31181,32667,33284,34420,36379,38288,39065,39594,40602,42636,48320,52056,51116,53386,57584
 "06021","Glenn, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71156,73813,78182,92399,120824,144255,142714,130642,147493,170263,209199,256576,254575,249117,236054,266203,286091,283670,319167,341701,349466,368310,369464,409603,432736,435087,424577,473887,491884,472752,502897,520864,567327,577723,610076,663933,681892,679217,811478,840412,868989,903645,960396,977473,1060368,1022151,1090813,1129760,1143898,1206997,1249518,1435156,1505763,1477598,1552265,1650270
 "06021","Glenn, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",17207,17486,17396,17518,18260,18522,19150,19687,20109,20038,20991,21498,22050,22346,22873,22835,23171,23214,23318,23844,24428,24919,25181,25510,25663,25796,26040,26170,26270,26185,26332,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,28139,28203,27966,27971,28047,28025,28156,28294,28374,28977,28889,28714,28371,28190,28304
 "06021","Glenn, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4135,4221,4494,5275,6617,7788,7452,6636,7335,8497,9966,11935,11545,11148,10320,11658,12347,12220,13688,14331,14306,14780,14672,16057,16862,16866,16305,18108,18724,18054,19098,19718,21449,21677,22582,24480,24893,24563,29216,29994,30925,32114,34053,34952,37910,36444,38923,40125,40429,42539,43121,49678,52440,52081,55064,58305
 "06023","Humboldt, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",390205,410869,449546,484634,538295,592976,650730,735707,802633,882256,969804,1072033,1136903,1167698,1256923,1345970,1419331,1516976,1606617,1724260,1868531,1957257,2037273,2141078,2230071,2303042,2381551,2527171,2643358,2810256,2871176,3016505,3287294,3390128,3614100,3848662,3923861,4132175,4256504,4353307,4424978,4792688,4860509,4880568,4954797,5177816,5515128,5709430,5894662,6029582,6266157,6835069,7297188,7272378,7526646,8211600
 "06023","Humboldt, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",98868,99708,100115,103038,104378,105501,104239,105158,106256,107430,107777,108931,110338,109889,109638,110275,111050,111702,112818,114774,117161,119746,121375,123032,124147,123990,125927,126162,127086,127087,126676,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,135039,135405,134864,134832,135060,135800,137219,137570,137481,136936,136324,134978,135013,134009,132380
 "06023","Humboldt, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3947,4121,4490,4703,5157,5621,6243,6996,7554,8212,8998,9841,10304,10626,11464,12206,12781,13581,14241,15023,15948,16345,16785,17403,17963,18574,18912,20031,20800,22113,22666,23853,25779,26325,27853,29446,29840,31282,32246,32816,33085,35491,35896,36189,36748,38337,40612,41608,42848,43858,45760,50138,54062,53864,56165,62031
 "06025","Imperial, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",284148,299115,301362,384220,425947,488692,523162,581199,603258,656466,929247,892750,937763,1039080,1100685,1126580,1123275,1161130,1361218,1567808,1688119,1788952,1875359,2014568,2261329,2283722,2359013,2343970,2438612,2618686,2713480,2721238,2977969,3349019,3483389,3582583,3761791,4066254,4323904,4719809,4793296,5087461,5484146,5541036,5743731,5990271,6439648,6323414,6428926,6353010,6768896,8348474,8705994,8345166,8712870,9470869
 "06025","Imperial, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",73604,74795,74931,75869,79648,81526,82989,85264,86981,88474,90086,92584,94301,95688,96890,97475,99199,98885,100077,101881,105166,110839,117143,123823,132758,134315,136986,137987,138624,139615,141056,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,174685,175635,176314,176052,177459,178297,179400,180693,180428,179727,179730,179206,179767,180585,181724
 "06025","Imperial, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3860,3999,4022,5064,5348,5994,6304,6816,6936,7420,10315,9643,9944,10859,11360,11558,11323,11742,13602,15389,16052,16140,16009,16270,17033,17003,17221,16987,17592,18756,19237,19108,20723,22995,23381,23530,24097,25334,26270,28108,27867,29124,31225,31427,32625,33756,36118,35248,35579,35211,37662,46450,48581,46422,48248,52117
 "06027","Inyo, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",58457,64784,71180,79725,85713,94205,105798,114992,124199,142494,162989,185018,208620,216653,229957,239714,246458,253051,258014,289646,319175,333301,344800,353464,366349,371498,384624,398832,413715,435211,450551,458177,541461,549775,581184,638803,666955,708558,728802,774484,767036,786335,807016,840983,854034,907544,947306,1011375,1041240,1024203,1089054,1135777,1158004,1124081,1257334,1345078
 "06027","Inyo, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",15417,15626,15799,15491,16344,16653,16879,17032,17226,16509,17748,17914,17954,18410,18420,18203,18083,17862,17794,17946,18317,18272,18312,18372,18337,18431,18395,18311,18241,18036,17968,17955,18117,18394,18593,18578,18478,18370,18426,18318,18544,18527,18505,18560,18659,18688,18601,18497,18515,18685,18881,18999,18920,18745,18548,18485
